City,Country,Duration,Price,Airline,Airport,Depart,Return,Link,MinPrice,is_MinPrice
Incheon,Coreia do Sul,1713.0,1856.17,United Airlines,ICN,2023-06-04,2023-06-11,http://kayak.com/flights/EWR-ICN/2023-06-04/2023-06-11/,1856.17,1.0
Paris,França,490.0,730.25,French Bee,PAR,2023-06-04,2023-06-08,http://kayak.com/flights/EWR-PAR/2023-06-04/2023-06-08/,730.25,1.0
Los Angeles,Estados Unidos,369.0,287.59,Várias companhias aéreas,LAX,2023-06-02,2023-06-06,http://kayak.com/flights/EWR-LAX/2023-06-02/2023-06-06/,287.59,1.0
Londres,Reino Unido,1610.0,647.55,Icelandair,LON,2023-06-06,2023-06-10,http://kayak.com/flights/EWR-LON/2023-06-06/2023-06-10/,647.55,1.0
Copenhaga,Dinamarca,1140.0,750.93,United Airlines,CPH,2023-06-07,2023-06-14,http://kayak.com/flights/EWR-CPH/2023-06-07/2023-06-14/,750.93,1.0
Madrid,Espanha,1510.0,840.21,TAP AIR PORTUGAL,MAD,2023-06-03,2023-06-08,http://kayak.com/flights/EWR-MAD/2023-06-03/2023-06-08/,840.21,1.0
Banguecoque,Tailândia,2555.0,1537.57,ANA,BKK,2023-06-09,2023-06-15,http://kayak.com/flights/EWR-BKK/2023-06-09/2023-06-15/,1537.57,1.0
Barcelona,Espanha,1360.0,742.47,TAP AIR PORTUGAL,BCN,2023-06-05,2023-06-12,http://kayak.com/flights/EWR-BCN/2023-06-05/2023-06-12/,742.47,1.0
Miami,Estados Unidos,182.0,143.8,Várias companhias aéreas,MIA,2023-06-13,2023-06-20,http://kayak.com/flights/EWR-MIA/2023-06-13/2023-06-20/,143.8,1.0
São Francisco,Estados Unidos,839.0,325.19,Alaska Airlines,SFO,2023-06-08,2023-06-12,http://kayak.com/flights/EWR-SFO/2023-06-08/2023-06-12/,325.19,1.0
Boston,Estados Unidos,87.0,176.69,United Airlines,BOS,2023-06-15,2023-06-19,http://kayak.com/flights/EWR-BOS/2023-06-15/2023-06-19/,176.69,1.0
Lisboa,Portugal,1035.0,796.04,Várias companhias aéreas,LIS,2023-06-07,2023-06-14,http://kayak.com/flights/EWR-LIS/2023-06-07/2023-06-14/,796.04,1.0
Viena,Áustria,1105.0,1146.6,Scandinavian Airlines,VIE,2023-06-14,2023-06-21,http://kayak.com/flights/EWR-VIE/2023-06-14/2023-06-21/,1146.6,1.0
Frankfurt,Alemanha,1925.0,845.85,Icelandair,FRA,2023-06-22,2023-06-28,http://kayak.com/flights/EWR-FRA/2023-06-22/2023-06-28/,845.85,1.0
Amesterdão,Holanda,1765.0,934.2,Turkish Airlines,AMS,2023-06-13,2023-06-20,http://kayak.com/flights/EWR-AMS/2023-06-13/2023-06-20/,934.2,1.0
Las Vegas,Estados Unidos,321.0,242.48,Spirit Airlines,LAS,2023-06-07,2023-06-13,http://kayak.com/flights/EWR-LAS/2023-06-07/2023-06-13/,242.48,1.0
