City,Country,Duration,Price,Airline,Airport,Depart,Return,Link
São Paulo,Brasil,1688.0,664.46,LATAM Airlines,SAO,2023-06-02,2023-06-09,http://kayak.com/flights/EWR-SAO/2023-06-02/2023-06-09/
Hong Kong,Hong Kong,2755.0,1464.26,Várias companhias aéreas,HKG,2023-06-14,2023-06-20,http://kayak.com/flights/EWR-HKG/2023-06-14/2023-06-20/
Tóquio,Japão,1399.0,1655.99,United Airlines,NRT,2023-06-23,2023-06-30,http://kayak.com/flights/EWR-NRT/2023-06-23/2023-06-30/
Honolulu,Estados Unidos,773.0,736.83,United Airlines,HNL,2023-06-08,2023-06-12,http://kayak.com/flights/EWR-HNL/2023-06-08/2023-06-12/
Melbourne,Austrália,1828.0,2452.02,Qantas Airways,MEL,2023-06-20,2023-06-27,http://kayak.com/flights/EWR-MEL/2023-06-20/2023-06-27/
Lima,Perú,1091.0,516.91,LATAM Airlines,LIM,2023-06-13,2023-06-20,http://kayak.com/flights/EWR-LIM/2023-06-13/2023-06-20/
Cairo,Egito,1505.0,1078.93,Delta,CAI,2023-06-06,2023-06-13,http://kayak.com/flights/EWR-CAI/2023-06-06/2023-06-13/
Paris,França,490.0,730.25,French Bee,ORY,2023-06-04,2023-06-08,http://kayak.com/flights/EWR-ORY/2023-06-04/2023-06-08/
Kuala Lumpur,Malásia,3575.0,2124.96,Turkish Airlines,KUL,2023-06-15,2023-06-19,http://kayak.com/flights/EWR-KUL/2023-06-15/2023-06-19/
Praga,República Checa,1835.0,1263.14,Turkish Airlines,PRG,2023-06-16,2023-06-22,http://kayak.com/flights/EWR-PRG/2023-06-16/2023-06-22/
San José,Costa Rica,751.0,494.36,Spirit Airlines,SJO,2023-06-07,2023-06-12,http://kayak.com/flights/EWR-SJO/2023-06-07/2023-06-12/
São Diego,Estados Unidos,1581.0,351.5,Várias companhias aéreas,SAN,2023-06-23,2023-06-27,http://kayak.com/flights/EWR-SAN/2023-06-23/2023-06-27/
Budapeste,Hungria,845.0,1268.78,United Airlines,BUD,2023-06-14,2023-06-21,http://kayak.com/flights/EWR-BUD/2023-06-14/2023-06-21/
Marselha,França,900.0,1285.69,Delta,MRS,2023-06-21,2023-06-28,http://kayak.com/flights/EWR-MRS/2023-06-21/2023-06-28/
Taipé,Taiwan,2726.0,1770.64,Várias companhias aéreas,TPE,2023-06-22,2023-06-26,http://kayak.com/flights/EWR-TPE/2023-06-22/2023-06-26/
Houston,Estados Unidos,229.0,281.01,Spirit Airlines,IAH,2023-06-14,2023-06-19,http://kayak.com/flights/EWR-IAH/2023-06-14/2023-06-19/
Genebra,Suíça,867.0,933.26,United Airlines,GVA,2023-06-21,2023-06-28,http://kayak.com/flights/EWR-GVA/2023-06-21/2023-06-28/
Estocolmo,Suécia,825.0,795.1,United Airlines,ARN,2023-06-15,2023-06-19,http://kayak.com/flights/EWR-ARN/2023-06-15/2023-06-19/
Nice,França,735.0,982.13,Várias companhias aéreas,NCE,2023-06-05,2023-06-12,http://kayak.com/flights/EWR-NCE/2023-06-05/2023-06-12/
Osaka,Japão,1160.0,2446.38,Várias companhias aéreas,KIX,2023-06-05,2023-06-09,http://kayak.com/flights/EWR-KIX/2023-06-05/2023-06-09/
Seul,Coreia do Sul,1713.0,1856.17,United Airlines,SEL,2023-06-04,2023-06-11,http://kayak.com/flights/EWR-SEL/2023-06-04/2023-06-11/
Veneza,Itália,1245.0,979.31,Várias companhias aéreas,VCE,2023-06-10,2023-06-17,http://kayak.com/flights/EWR-VCE/2023-06-10/2023-06-17/
Portland,Estados Unidos,711.0,419.17,Várias companhias aéreas,PDX,2023-06-15,2023-06-20,http://kayak.com/flights/EWR-PDX/2023-06-15/2023-06-20/
Austin,Estados Unidos,504.0,218.99,Várias companhias aéreas,AUS,2023-06-14,2023-06-21,http://kayak.com/flights/EWR-AUS/2023-06-14/2023-06-21/
Cidade de Ho Chi Minh,Vietname,1978.0,1590.2,Japan Airlines,SGN,2023-06-24,2023-06-28,http://kayak.com/flights/EWR-SGN/2023-06-24/2023-06-28/
Charlotte,Estados Unidos,118.0,175.75,United Airlines,CLT,2023-06-21,2023-06-28,http://kayak.com/flights/EWR-CLT/2023-06-21/2023-06-28/
Roma,Itália,1145.0,798.86,Várias companhias aéreas,FCO,2023-06-11,2023-06-17,http://kayak.com/flights/EWR-FCO/2023-06-11/2023-06-17/
"Washington, D.C.",Estados Unidos,1134.0,385.34,United Airlines,IAD,2023-06-04,2023-06-08,http://kayak.com/flights/EWR-IAD/2023-06-04/2023-06-08/
Montreal,Canadá,358.0,202.07,Porter Airlines,YUL,2023-06-05,2023-06-12,http://kayak.com/flights/EWR-YUL/2023-06-05/2023-06-12/
Santiago,Chile,1265.0,808.26,Várias companhias aéreas,SCL,2023-06-21,2023-06-27,http://kayak.com/flights/EWR-SCL/2023-06-21/2023-06-27/
Nápoles,Itália,1870.0,1021.6,Várias companhias aéreas,NAP,2023-06-14,2023-06-21,http://kayak.com/flights/EWR-NAP/2023-06-14/2023-06-21/
Nantes,França,1810.0,1472.72,Aer Lingus,NTE,2023-06-17,2023-06-24,http://kayak.com/flights/EWR-NTE/2023-06-17/2023-06-24/
Salt Lake City,Estados Unidos,933.0,390.97,Spirit Airlines,SLC,2023-06-07,2023-06-14,http://kayak.com/flights/EWR-SLC/2023-06-07/2023-06-14/
Nashville,Estados Unidos,143.0,204.89,Spirit Airlines,BNA,2023-06-05,2023-06-09,http://kayak.com/flights/EWR-BNA/2023-06-05/2023-06-09/
Raleigh,Estados Unidos,106.0,157.9,United Airlines,RDU,2023-06-08,2023-06-12,http://kayak.com/flights/EWR-RDU/2023-06-08/2023-06-12/
Cidade do Cabo,África do Sul,2100.0,1160.7,British Airways,CPT,2023-06-09,2023-06-13,http://kayak.com/flights/EWR-CPT/2023-06-09/2023-06-13/
Cracóvia,Polónia,1130.0,953.93,Delta,KRK,2023-06-14,2023-06-21,http://kayak.com/flights/EWR-KRK/2023-06-14/2023-06-21/
Buenos Aires,Argentina,2483.0,924.8,LATAM Airlines,BUE,2023-06-01,2023-06-08,http://kayak.com/flights/EWR-BUE/2023-06-01/2023-06-08/
São Paulo,Brasil,1688.0,664.46,LATAM Airlines,GRU,2023-06-02,2023-06-09,http://kayak.com/flights/EWR-GRU/2023-06-02/2023-06-09/
Edimburgo,Reino Unido,1500.0,998.1,Aer Lingus,EDI,2023-06-10,2023-06-15,http://kayak.com/flights/EWR-EDI/2023-06-10/2023-06-15/
Marraquexe,Marrocos,1855.0,1030.06,TAP AIR PORTUGAL,RAK,2023-06-03,2023-06-08,http://kayak.com/flights/EWR-RAK/2023-06-03/2023-06-08/
Medellín,Colômbia,1809.0,544.17,Várias companhias aéreas,MDE,2023-06-01,2023-06-06,http://kayak.com/flights/EWR-MDE/2023-06-01/2023-06-06/
Detroit,Estados Unidos,117.0,223.68,United Airlines,DTW,2023-06-04,2023-06-09,http://kayak.com/flights/EWR-DTW/2023-06-04/2023-06-09/
Montreal,Canadá,358.0,202.07,Porter Airlines,YMQ,2023-06-05,2023-06-12,http://kayak.com/flights/EWR-YMQ/2023-06-05/2023-06-12/
Estugarda,Alemanha,1675.0,1151.3,Turkish Airlines,STR,2023-06-21,2023-06-28,http://kayak.com/flights/EWR-STR/2023-06-21/2023-06-28/
Gotemburgo,Suécia,885.0,688.9,Scandinavian Airlines,GOT,2023-06-06,2023-06-13,http://kayak.com/flights/EWR-GOT/2023-06-06/2023-06-13/
Valência,Espanha,890.0,992.47,British Airways,VLC,2023-06-12,2023-06-18,http://kayak.com/flights/EWR-VLC/2023-06-12/2023-06-18/
Nova Orleães,Estados Unidos,197.0,195.49,United Airlines,MSY,2023-06-02,2023-06-09,http://kayak.com/flights/EWR-MSY/2023-06-02/2023-06-09/
Milão,Itália,1710.0,663.52,Scandinavian Airlines,MXP,2023-06-05,2023-06-12,http://kayak.com/flights/EWR-MXP/2023-06-05/2023-06-12/
Baltimore,Estados Unidos,540.0,404.13,Várias companhias aéreas,BWI,2023-06-17,2023-06-24,http://kayak.com/flights/EWR-BWI/2023-06-17/2023-06-24/
Rio de Janeiro,Brasil,1568.0,703.0,LATAM Airlines,RIO,2023-06-11,2023-06-18,http://kayak.com/flights/EWR-RIO/2023-06-11/2023-06-18/
Houston,Estados Unidos,229.0,281.01,Spirit Airlines,HOU,2023-06-14,2023-06-19,http://kayak.com/flights/EWR-HOU/2023-06-14/2023-06-19/
Bucareste,Roménia,1147.0,1237.76,Air Canada,BUH,2023-06-14,2023-06-21,http://kayak.com/flights/EWR-BUH/2023-06-14/2023-06-21/
Phuket,Tailândia,1690.0,2224.58,British Airways,HKT,2023-06-23,2023-06-30,http://kayak.com/flights/EWR-HKT/2023-06-23/2023-06-30/
Luqa,Malta,980.0,982.13,Várias companhias aéreas,MLA,2023-06-01,2023-06-06,http://kayak.com/flights/EWR-MLA/2023-06-01/2023-06-06/
Riga,Letónia,935.0,873.11,airBaltic,RIX,2023-06-13,2023-06-19,http://kayak.com/flights/EWR-RIX/2023-06-13/2023-06-19/
Punta Cana,República Dominicana,254.0,455.82,United Airlines,PUJ,2023-06-05,2023-06-09,http://kayak.com/flights/EWR-PUJ/2023-06-05/2023-06-09/
Amã,Jordânia,1660.0,1011.26,Air Canada,AMM,2023-06-08,2023-06-13,http://kayak.com/flights/EWR-AMM/2023-06-08/2023-06-13/
Beirute,Líbano,1455.0,986.83,Várias companhias aéreas,BEY,2023-06-01,2023-06-08,http://kayak.com/flights/EWR-BEY/2023-06-01/2023-06-08/
Toulouse,França,870.0,921.98,Várias companhias aéreas,TLS,2023-06-18,2023-06-22,http://kayak.com/flights/EWR-TLS/2023-06-18/2023-06-22/
Auckland,Nova Zelândia,1810.0,1956.73,Várias companhias aéreas,AKL,2023-06-17,2023-06-24,http://kayak.com/flights/EWR-AKL/2023-06-17/2023-06-24/
Calgary,Canadá,581.0,418.23,Várias companhias aéreas,YYC,2023-06-14,2023-06-21,http://kayak.com/flights/EWR-YYC/2023-06-14/2023-06-21/
Brisbane,Austrália,1940.0,1697.34,Air Canada,BNE,2023-06-24,2023-06-30,http://kayak.com/flights/EWR-BNE/2023-06-24/2023-06-30/
Hyderabad,Índia,2326.0,1518.77,Várias companhias aéreas,HYD,2023-06-15,2023-06-19,http://kayak.com/flights/EWR-HYD/2023-06-15/2023-06-19/
Cleveland,Estados Unidos,96.0,157.9,United Airlines,CLE,2023-06-18,2023-06-25,http://kayak.com/flights/EWR-CLE/2023-06-18/2023-06-25/
Bordéus,França,1415.0,958.63,Várias companhias aéreas,BOD,2023-06-08,2023-06-13,http://kayak.com/flights/EWR-BOD/2023-06-08/2023-06-13/
Catânia,Itália,1065.0,1085.51,Várias companhias aéreas,CTA,2023-06-10,2023-06-17,http://kayak.com/flights/EWR-CTA/2023-06-10/2023-06-17/
Sevilha,Espanha,1870.0,1219.9,Várias companhias aéreas,SVQ,2023-06-20,2023-06-26,http://kayak.com/flights/EWR-SVQ/2023-06-20/2023-06-26/
Colónia,Alemanha,1660.0,1116.52,Turkish Airlines,CGN,2023-06-04,2023-06-11,http://kayak.com/flights/EWR-CGN/2023-06-04/2023-06-11/
Bucareste,Roménia,1147.0,1237.76,Air Canada,OTP,2023-06-14,2023-06-21,http://kayak.com/flights/EWR-OTP/2023-06-14/2023-06-21/
Cebu,Filipinas,1617.0,1365.58,Korean Air,CEB,2023-06-12,2023-06-18,http://kayak.com/flights/EWR-CEB/2023-06-12/2023-06-18/
Las Palmas,Espanha,1025.0,1411.63,Várias companhias aéreas,LPA,2023-06-24,2023-06-29,http://kayak.com/flights/EWR-LPA/2023-06-24/2023-06-29/
Santo Domingo,República Dominicana,246.0,327.07,United Airlines,SDQ,2023-06-08,2023-06-13,http://kayak.com/flights/EWR-SDQ/2023-06-08/2023-06-13/
Fort Myers,Estados Unidos,185.0,190.79,JetBlue,RSW,2023-06-05,2023-06-09,http://kayak.com/flights/EWR-RSW/2023-06-05/2023-06-09/
Jidá,Arábia Saudita,1965.0,1189.83,Ethiopian Air,JED,2023-06-01,2023-06-08,http://kayak.com/flights/EWR-JED/2023-06-01/2023-06-08/
Faro,Portugal,1030.0,928.56,Várias companhias aéreas,FAO,2023-06-08,2023-06-15,http://kayak.com/flights/EWR-FAO/2023-06-08/2023-06-15/
Cidade da Guatemala,Guatemala,960.0,472.74,Várias companhias aéreas,GUA,2023-06-07,2023-06-13,http://kayak.com/flights/EWR-GUA/2023-06-07/2023-06-13/
Bolonha,Itália,1810.0,1007.5,TAP AIR PORTUGAL,BLQ,2023-06-04,2023-06-08,http://kayak.com/flights/EWR-BLQ/2023-06-04/2023-06-08/
Bangalore,Índia,1335.0,2116.5,Lufthansa,BLR,2023-06-08,2023-06-14,http://kayak.com/flights/EWR-BLR/2023-06-08/2023-06-14/
Guadalajara,México,2092.0,727.43,Alaska Airlines,GDL,2023-06-07,2023-06-12,http://kayak.com/flights/EWR-GDL/2023-06-07/2023-06-12/
"Washington, D.C.",Estados Unidos,484.0,380.64,JetBlue,DCA,2023-06-04,2023-06-08,http://kayak.com/flights/EWR-DCA/2023-06-04/2023-06-08/
Birmingham,Reino Unido,1935.0,861.83,Scandinavian Airlines,BHX,2023-06-19,2023-06-26,http://kayak.com/flights/EWR-BHX/2023-06-19/2023-06-26/
Chennai,Índia,2105.0,1429.49,Emirates,MAA,2023-06-08,2023-06-14,http://kayak.com/flights/EWR-MAA/2023-06-08/2023-06-14/
Casablanca,Marrocos,1015.0,903.18,Delta,CMN,2023-06-06,2023-06-13,http://kayak.com/flights/EWR-CMN/2023-06-06/2023-06-13/
Tallin,Estónia,775.0,1091.15,Scandinavian Airlines,TLL,2023-06-20,2023-06-27,http://kayak.com/flights/EWR-TLL/2023-06-20/2023-06-27/
Londres,Reino Unido,670.0,647.55,Icelandair,LGW,2023-06-06,2023-06-13,http://kayak.com/flights/EWR-LGW/2023-06-06/2023-06-13/
Florença,Itália,1195.0,1107.12,Várias companhias aéreas,FLR,2023-06-10,2023-06-15,http://kayak.com/flights/EWR-FLR/2023-06-10/2023-06-15/
Palermo,Itália,1025.0,923.86,Várias companhias aéreas,PMO,2023-06-11,2023-06-17,http://kayak.com/flights/EWR-PMO/2023-06-11/2023-06-17/
Colombo,Sri Lanka,4150.0,2897.5,Singapore Airlines,CMB,2023-06-24,2023-06-30,http://kayak.com/flights/EWR-CMB/2023-06-24/2023-06-30/
Jacksonville,Estados Unidos,277.0,261.28,United Airlines,JAX,2023-06-21,2023-06-28,http://kayak.com/flights/EWR-JAX/2023-06-21/2023-06-28/
Cidade do Panamá,Panamá,317.0,780.06,United Airlines,PTY,2023-06-17,2023-06-24,http://kayak.com/flights/EWR-PTY/2023-06-17/2023-06-24/
Indianápolis,Estados Unidos,264.0,186.09,United Airlines,IND,2023-06-08,2023-06-12,http://kayak.com/flights/EWR-IND/2023-06-08/2023-06-12/
Pittsburgh,Estados Unidos,83.0,156.96,Spirit Airlines,PIT,2023-06-08,2023-06-13,http://kayak.com/flights/EWR-PIT/2023-06-08/2023-06-13/
Ibiza,Espanha,1515.0,1059.19,TAP AIR PORTUGAL,IBZ,2023-06-14,2023-06-19,http://kayak.com/flights/EWR-IBZ/2023-06-14/2023-06-19/
Hanover,Alemanha,1660.0,1285.69,Turkish Airlines,HAJ,2023-06-20,2023-06-25,http://kayak.com/flights/EWR-HAJ/2023-06-20/2023-06-25/
Cartagena,Colômbia,1789.0,484.02,Várias companhias aéreas,CTG,2023-06-08,2023-06-12,http://kayak.com/flights/EWR-CTG/2023-06-08/2023-06-12/
São Salvador,El Salvador,969.0,485.9,American Airlines,SAL,2023-06-03,2023-06-10,http://kayak.com/flights/EWR-SAL/2023-06-03/2023-06-10/
Split,Croácia,805.0,1002.8,Várias companhias aéreas,SPU,2023-06-17,2023-06-23,http://kayak.com/flights/EWR-SPU/2023-06-17/2023-06-23/
Lárnaca,Chipre,3370.0,1477.42,Emirates,LCA,2023-06-15,2023-06-20,http://kayak.com/flights/EWR-LCA/2023-06-15/2023-06-20/
Túnis,Tunísia,1415.0,1179.49,Lufthansa,TUN,2023-06-11,2023-06-15,http://kayak.com/flights/EWR-TUN/2023-06-11/2023-06-15/
Hanói,Vietname,3625.0,1563.88,Várias companhias aéreas,HAN,2023-06-11,2023-06-16,http://kayak.com/flights/EWR-HAN/2023-06-11/2023-06-16/
Funchal,Portugal,1270.0,1016.9,TAP AIR PORTUGAL,FNC,2023-06-14,2023-06-20,http://kayak.com/flights/EWR-FNC/2023-06-14/2023-06-20/
