City,Country,Duration,Price,Airline,Airport,Depart,Return,Link
Incheon,Coreia do Sul,1713.0,1856.17,United Airlines,ICN,2023-06-04,2023-06-11,http://kayak.com/flights/EWR-ICN/2023-06-04/2023-06-11/
Paris,França,490.0,730.25,French Bee,PAR,2023-06-04,2023-06-08,http://kayak.com/flights/EWR-PAR/2023-06-04/2023-06-08/
Los Angeles,Estados Unidos,369.0,287.59,Várias companhias aéreas,LAX,2023-06-02,2023-06-06,http://kayak.com/flights/EWR-LAX/2023-06-02/2023-06-06/
Londres,Reino Unido,1610.0,647.55,Icelandair,LON,2023-06-06,2023-06-10,http://kayak.com/flights/EWR-LON/2023-06-06/2023-06-10/
Copenhaga,Dinamarca,1140.0,750.93,United Airlines,CPH,2023-06-07,2023-06-14,http://kayak.com/flights/EWR-CPH/2023-06-07/2023-06-14/
Madrid,Espanha,1510.0,840.21,TAP AIR PORTUGAL,MAD,2023-06-03,2023-06-08,http://kayak.com/flights/EWR-MAD/2023-06-03/2023-06-08/
Banguecoque,Tailândia,2555.0,1537.57,ANA,BKK,2023-06-09,2023-06-15,http://kayak.com/flights/EWR-BKK/2023-06-09/2023-06-15/
Barcelona,Espanha,1360.0,742.47,TAP AIR PORTUGAL,BCN,2023-06-05,2023-06-12,http://kayak.com/flights/EWR-BCN/2023-06-05/2023-06-12/
Miami,Estados Unidos,182.0,143.8,Várias companhias aéreas,MIA,2023-06-13,2023-06-20,http://kayak.com/flights/EWR-MIA/2023-06-13/2023-06-20/
São Francisco,Estados Unidos,839.0,325.19,Alaska Airlines,SFO,2023-06-08,2023-06-12,http://kayak.com/flights/EWR-SFO/2023-06-08/2023-06-12/
Boston,Estados Unidos,87.0,176.69,United Airlines,BOS,2023-06-15,2023-06-19,http://kayak.com/flights/EWR-BOS/2023-06-15/2023-06-19/
Lisboa,Portugal,1035.0,796.04,Várias companhias aéreas,LIS,2023-06-07,2023-06-14,http://kayak.com/flights/EWR-LIS/2023-06-07/2023-06-14/
Viena,Áustria,1105.0,1146.6,Scandinavian Airlines,VIE,2023-06-14,2023-06-21,http://kayak.com/flights/EWR-VIE/2023-06-14/2023-06-21/
Frankfurt,Alemanha,1925.0,845.85,Icelandair,FRA,2023-06-22,2023-06-28,http://kayak.com/flights/EWR-FRA/2023-06-22/2023-06-28/
Amesterdão,Holanda,1765.0,934.2,Turkish Airlines,AMS,2023-06-13,2023-06-20,http://kayak.com/flights/EWR-AMS/2023-06-13/2023-06-20/
Las Vegas,Estados Unidos,321.0,242.48,Spirit Airlines,LAS,2023-06-07,2023-06-13,http://kayak.com/flights/EWR-LAS/2023-06-07/2023-06-13/
Roma,Itália,1145.0,798.86,Várias companhias aéreas,ROM,2023-06-11,2023-06-17,http://kayak.com/flights/EWR-ROM/2023-06-11/2023-06-17/
Atlanta,Estados Unidos,140.0,139.1,United Airlines,ATL,2023-06-04,2023-06-09,http://kayak.com/flights/EWR-ATL/2023-06-04/2023-06-09/
Manila,Filipinas,2075.0,2110.86,Ethiopian Air,MNL,2023-06-22,2023-06-29,http://kayak.com/flights/EWR-MNL/2023-06-22/2023-06-29/
Nova Deli,Índia,1590.0,1471.78,Air France,DEL,2023-06-07,2023-06-14,http://kayak.com/flights/EWR-DEL/2023-06-07/2023-06-14/
Londres,Reino Unido,1610.0,647.55,Icelandair,LHR,2023-06-06,2023-06-10,http://kayak.com/flights/EWR-LHR/2023-06-06/2023-06-10/
Seattle,Estados Unidos,373.0,355.26,Alaska Airlines,SEA,2023-06-07,2023-06-14,http://kayak.com/flights/EWR-SEA/2023-06-07/2023-06-14/
Berlim,Alemanha,1185.0,843.97,British Airways,BER,2023-06-18,2023-06-25,http://kayak.com/flights/EWR-BER/2023-06-18/2023-06-25/
Munique,Alemanha,1815.0,867.47,Várias companhias aéreas,MUC,2023-06-20,2023-06-27,http://kayak.com/flights/EWR-MUC/2023-06-20/2023-06-27/
Dallas,Estados Unidos,328.0,182.33,United Airlines,DFW,2023-06-01,2023-06-05,http://kayak.com/flights/EWR-DFW/2023-06-01/2023-06-05/
Singapura,Singapura,1981.0,1634.37,United Airlines,SIN,2023-06-21,2023-06-28,http://kayak.com/flights/EWR-SIN/2023-06-21/2023-06-28/
Dubai,Emirados Árabes Unidos,2720.0,1196.41,Emirates,DXB,2023-06-01,2023-06-05,http://kayak.com/flights/EWR-DXB/2023-06-01/2023-06-05/
Bogotá,Colômbia,1276.0,409.77,Várias companhias aéreas,BOG,2023-06-07,2023-06-11,http://kayak.com/flights/EWR-BOG/2023-06-07/2023-06-11/
Denver,Estados Unidos,452.0,298.87,United Airlines,DEN,2023-06-01,2023-06-06,http://kayak.com/flights/EWR-DEN/2023-06-01/2023-06-06/
Cidade do México,México,367.0,524.43,United Airlines,MEX,2023-06-17,2023-06-23,http://kayak.com/flights/EWR-MEX/2023-06-17/2023-06-23/
Cancún,México,244.0,387.21,United Airlines,CUN,2023-06-18,2023-06-22,http://kayak.com/flights/EWR-CUN/2023-06-18/2023-06-22/
Atenas,Grécia,1570.0,862.77,Várias companhias aéreas,ATH,2023-06-11,2023-06-17,http://kayak.com/flights/EWR-ATH/2023-06-11/2023-06-17/
Chicago,Estados Unidos,264.0,173.87,United Airlines,ORD,2023-06-21,2023-06-27,http://kayak.com/flights/EWR-ORD/2023-06-21/2023-06-27/
Zurique,Suíça,670.0,958.63,Icelandair,ZRH,2023-06-14,2023-06-19,http://kayak.com/flights/EWR-ZRH/2023-06-14/2023-06-19/
Chicago,Estados Unidos,264.0,173.87,United Airlines,CHI,2023-06-21,2023-06-27,http://kayak.com/flights/EWR-CHI/2023-06-21/2023-06-27/
Orlando,Estados Unidos,163.0,161.66,Várias companhias aéreas,MCO,2023-06-13,2023-06-20,http://kayak.com/flights/EWR-MCO/2023-06-13/2023-06-20/
Sydney,Austrália,1990.0,1987.75,Air Canada,SYD,2023-06-10,2023-06-17,http://kayak.com/flights/EWR-SYD/2023-06-10/2023-06-17/
Milão,Itália,1710.0,663.52,Scandinavian Airlines,MIL,2023-06-05,2023-06-12,http://kayak.com/flights/EWR-MIL/2023-06-05/2023-06-12/
"Washington, D.C.",Estados Unidos,484.0,380.64,JetBlue,WAS,2023-06-04,2023-06-08,http://kayak.com/flights/EWR-WAS/2023-06-04/2023-06-08/
Fort Lauderdale,Estados Unidos,182.0,163.54,Spirit Airlines,FLL,2023-06-13,2023-06-20,http://kayak.com/flights/EWR-FLL/2023-06-13/2023-06-20/
Paris,França,1950.0,826.12,Várias companhias aéreas,CDG,2023-06-06,2023-06-12,http://kayak.com/flights/EWR-CDG/2023-06-06/2023-06-12/
Toronto,Canadá,100.0,189.85,United Airlines,YYZ,2023-06-14,2023-06-21,http://kayak.com/flights/EWR-YYZ/2023-06-14/2023-06-21/
Telavive,Israel,1876.0,854.31,Delta,TLV,2023-06-07,2023-06-12,http://kayak.com/flights/EWR-TLV/2023-06-07/2023-06-12/
Istambul,Turquia,1095.0,1151.3,British Airways,IST,2023-06-19,2023-06-26,http://kayak.com/flights/EWR-IST/2023-06-19/2023-06-26/
Palma de Maiorca,Espanha,930.0,1059.19,Várias companhias aéreas,PMI,2023-06-04,2023-06-11,http://kayak.com/flights/EWR-PMI/2023-06-04/2023-06-11/
Phoenix,Estados Unidos,510.0,312.03,United Airlines,PHX,2023-06-02,2023-06-06,http://kayak.com/flights/EWR-PHX/2023-06-02/2023-06-06/
Dublin,Irlanda,1880.0,696.42,Scandinavian Airlines,DUB,2023-06-12,2023-06-19,http://kayak.com/flights/EWR-DUB/2023-06-12/2023-06-19/
Porto,Portugal,1070.0,903.18,Várias companhias aéreas,OPO,2023-06-07,2023-06-13,http://kayak.com/flights/EWR-OPO/2023-06-07/2023-06-13/
Varsóvia,Polónia,1220.0,960.51,Várias companhias aéreas,WAW,2023-06-05,2023-06-09,http://kayak.com/flights/EWR-WAW/2023-06-05/2023-06-09/
Filadélfia,Estados Unidos,740.0,802.62,Várias companhias aéreas,PHL,2023-06-06,2023-06-13,http://kayak.com/flights/EWR-PHL/2023-06-06/2023-06-13/
Bruxelas,Bélgica,1800.0,823.3,TAP AIR PORTUGAL,BRU,2023-06-05,2023-06-11,http://kayak.com/flights/EWR-BRU/2023-06-05/2023-06-11/
Tóquio,Japão,965.0,1545.09,Várias companhias aéreas,TYO,2023-06-14,2023-06-21,http://kayak.com/flights/EWR-TYO/2023-06-14/2023-06-21/
Málaga,Espanha,2085.0,1176.67,Turkish Airlines,AGP,2023-06-14,2023-06-20,http://kayak.com/flights/EWR-AGP/2023-06-14/2023-06-20/
Oslo,Noruega,735.0,947.35,Scandinavian Airlines,OSL,2023-06-10,2023-06-14,http://kayak.com/flights/EWR-OSL/2023-06-10/2023-06-14/
Manchester,Reino Unido,2035.0,846.79,Scandinavian Airlines,MAN,2023-06-05,2023-06-11,http://kayak.com/flights/EWR-MAN/2023-06-05/2023-06-11/
Minneapolis,Estados Unidos,172.0,195.49,United Airlines,MSP,2023-06-02,2023-06-06,http://kayak.com/flights/EWR-MSP/2023-06-02/2023-06-06/
Denpasar,Indonésia,2175.0,1804.48,Várias companhias aéreas,DPS,2023-06-22,2023-06-28,http://kayak.com/flights/EWR-DPS/2023-06-22/2023-06-28/
Dusseldorf,Alemanha,1275.0,1156.94,Turkish Airlines,DUS,2023-06-03,2023-06-08,http://kayak.com/flights/EWR-DUS/2023-06-03/2023-06-08/
Vancouver,Canadá,650.0,366.54,Várias companhias aéreas,YVR,2023-06-04,2023-06-08,http://kayak.com/flights/EWR-YVR/2023-06-04/2023-06-08/
Toronto,Canadá,105.0,157.9,Porter Airlines,YTO,2023-06-06,2023-06-13,http://kayak.com/flights/EWR-YTO/2023-06-06/2023-06-13/
San Juan,Porto Rico,609.0,236.84,United Airlines,SJU,2023-06-05,2023-06-10,http://kayak.com/flights/EWR-SJU/2023-06-05/2023-06-10/
Estocolmo,Suécia,825.0,795.1,United Airlines,STO,2023-06-15,2023-06-19,http://kayak.com/flights/EWR-STO/2023-06-15/2023-06-19/
Orlando,Estados Unidos,163.0,161.66,Várias companhias aéreas,ORL,2023-06-13,2023-06-20,http://kayak.com/flights/EWR-ORL/2023-06-13/2023-06-20/
Tampa,Estados Unidos,523.0,189.85,JetBlue,TPA,2023-06-01,2023-06-07,http://kayak.com/flights/EWR-TPA/2023-06-01/2023-06-07/
Joanesburgo,África do Sul,1605.0,1287.57,Ethiopian Air,JNB,2023-06-06,2023-06-10,http://kayak.com/flights/EWR-JNB/2023-06-06/2023-06-10/
Mumbai,Índia,1515.0,1621.21,Ethiopian Air,BOM,2023-06-17,2023-06-24,http://kayak.com/flights/EWR-BOM/2023-06-17/2023-06-24/
Lyon,França,1650.0,1147.54,Turkish Airlines,LYS,2023-06-13,2023-06-18,http://kayak.com/flights/EWR-LYS/2023-06-13/2023-06-18/
Helsínquia,Finlândia,1045.0,914.46,Scandinavian Airlines,HEL,2023-06-19,2023-06-26,http://kayak.com/flights/EWR-HEL/2023-06-19/2023-06-26/
Hamburgo,Alemanha,670.0,1078.93,Icelandair,HAM,2023-06-18,2023-06-22,http://kayak.com/flights/EWR-HAM/2023-06-18/2023-06-22/
