City,Country,Duration,Price,Airline,Airport,Depart,Return,Link,MinPrice,is_MinPrice
Nairobi,Quénia,2425.0,1789.44,Várias companhias aéreas,NBO,2023-06-14,2023-06-20,http://kayak.com/flights/DEN-NBO/2023-06-14/2023-06-20/,1789.44,1.0
Belgrado,Sérvia,3275.0,1582.68,SWISS,BEG,2023-06-04,2023-06-10,http://kayak.com/flights/DEN-BEG/2023-06-04/2023-06-10/,1582.68,1.0
Salónica,Grécia,1970.0,1885.3,Várias companhias aéreas,SKG,2023-06-03,2023-06-10,http://kayak.com/flights/DEN-SKG/2023-06-03/2023-06-10/,1885.3,1.0
Cidade do Kansas,Estados Unidos,420.0,304.51,Várias companhias aéreas,MCI,2023-06-03,2023-06-08,http://kayak.com/flights/DEN-MCI/2023-06-03/2023-06-08/,304.51,1.0
Dubrovnik,Croácia,1725.0,1456.74,Lufthansa,DBV,2023-06-13,2023-06-20,http://kayak.com/flights/DEN-DBV/2023-06-13/2023-06-20/,1456.74,1.0
Port Louis,Maurícia,2725.0,1609.93,Várias companhias aéreas,MRU,2023-06-18,2023-06-25,http://kayak.com/flights/DEN-MRU/2023-06-18/2023-06-25/,1609.93,1.0
San José del Cabo,México,972.0,381.58,Aeromexico,SJD,2023-06-21,2023-06-28,http://kayak.com/flights/DEN-SJD/2023-06-21/2023-06-28/,381.58,1.0
Buffalo,Estados Unidos,227.0,293.23,Frontier,BUF,2023-06-21,2023-06-26,http://kayak.com/flights/DEN-BUF/2023-06-21/2023-06-26/,293.23,1.0
Richmond,Estados Unidos,728.0,348.68,Várias companhias aéreas,RIC,2023-06-02,2023-06-09,http://kayak.com/flights/DEN-RIC/2023-06-02/2023-06-09/,348.68,1.0
Sacramento,Estados Unidos,280.0,333.64,Delta,SMF,2023-06-06,2023-06-13,http://kayak.com/flights/DEN-SMF/2023-06-06/2023-06-13/,333.64,1.0
Kahului,Estados Unidos,1034.0,618.41,Várias companhias aéreas,OGG,2023-06-19,2023-06-26,http://kayak.com/flights/DEN-OGG/2023-06-19/2023-06-26/,618.41,1.0
Puerto Vallarta,México,1516.0,361.84,Aeromexico,PVR,2023-06-06,2023-06-13,http://kayak.com/flights/DEN-PVR/2023-06-06/2023-06-13/,361.84,1.0
Ontário,Estados Unidos,144.0,180.45,Frontier,ONT,2023-06-14,2023-06-19,http://kayak.com/flights/DEN-ONT/2023-06-14/2023-06-19/,180.45,1.0
Milwaukee,Estados Unidos,299.0,420.11,Delta,MKE,2023-06-23,2023-06-28,http://kayak.com/flights/DEN-MKE/2023-06-23/2023-06-28/,420.11,1.0
Oakland,Estados Unidos,1086.0,363.72,Várias companhias aéreas,OAK,2023-06-06,2023-06-12,http://kayak.com/flights/DEN-OAK/2023-06-06/2023-06-12/,363.72,1.0
Luxemburgo,Luxemburgo,990.0,1444.52,United Airlines,LUX,2023-06-21,2023-06-28,http://kayak.com/flights/DEN-LUX/2023-06-21/2023-06-28/,1444.52,1.0
Glasgow,Reino Unido,1085.0,944.53,Delta,GLA,2023-06-07,2023-06-14,http://kayak.com/flights/DEN-GLA/2023-06-07/2023-06-14/,944.53,1.0
Basileia,Suíça,1150.0,1431.37,Delta,EAP,2023-06-02,2023-06-09,http://kayak.com/flights/DEN-EAP/2023-06-02/2023-06-09/,1431.37,1.0
Anchorage,Estados Unidos,817.0,552.63,Várias companhias aéreas,ANC,2023-06-01,2023-06-07,http://kayak.com/flights/DEN-ANC/2023-06-01/2023-06-07/,552.63,1.0
