City,Country,Duration,Price,Airline,Airport,Depart,Return,Link,MinPrice,is_MinPrice
Bissau,Guiné-Bissau,905.0,607.14,TAP AIR PORTUGAL,OXB,2023-06-02,2023-06-08,http://kayak.com/flights/OPO-OXB/2023-06-02/2023-06-08/,607.14,1.0
Santa Cruz da Graciosa,Portugal,1280.0,217.11,Várias companhias aéreas,GRW,2023-06-20,2023-06-24,http://kayak.com/flights/OPO-GRW/2023-06-20/2023-06-24/,217.11,1.0
Vila do Porto,Portugal,1090.0,263.16,Várias companhias aéreas,SMA,2023-07-17,2023-07-23,http://kayak.com/flights/OPO-SMA/2023-07-17/2023-07-23/,263.16,1.0
Velas,Portugal,1615.0,235.9,Várias companhias aéreas,SJZ,2023-04-28,2023-05-04,http://kayak.com/flights/OPO-SJZ/2023-04-28/2023-05-04/,235.9,1.0
Badajoz,Espanha,695.0,159.78,Iberia,BJZ,2023-03-23,2023-03-28,http://kayak.com/flights/OPO-BJZ/2023-03-23/2023-03-28/,159.78,1.0
São Pedro,Cabo Verde,1170.0,783.82,TAP AIR PORTUGAL,VXE,2023-05-01,2023-05-08,http://kayak.com/flights/OPO-VXE/2023-05-01/2023-05-08/,783.82,1.0
Santa Cruz das Flores,Portugal,1270.0,288.53,Várias companhias aéreas,FLW,2023-07-24,2023-07-29,http://kayak.com/flights/OPO-FLW/2023-07-24/2023-07-29/,288.53,1.0
Springfield,Estados Unidos,1739.0,852.43,KLM,SFY,2023-04-25,2023-04-29,http://kayak.com/flights/OPO-SFY/2023-04-25/2023-04-29/,852.43,1.0
Joinville,Brasil,1295.0,2850.51,Várias companhias aéreas,JOI,2023-11-20,2023-11-27,http://kayak.com/flights/OPO-JOI/2023-11-20/2023-11-27/,2850.51,1.0
Escanaba,Estados Unidos,2352.0,1405.05,Delta,ESC,2023-06-27,2023-07-04,http://kayak.com/flights/OPO-ESC/2023-06-27/2023-07-04/,1405.05,1.0
Nampula,Moçambique,2770.0,2420.07,Várias companhias aéreas,APL,2023-05-27,2023-06-01,http://kayak.com/flights/OPO-APL/2023-05-27/2023-06-01/,2420.07,1.0
