City,Country,Duration,Price,Airline,Airport,Depart,Return,Link,MinPrice,is_MinPrice
Incheon,Coreia do Sul,3184.0,1298.85,Qatar Airways,ICN,2023-12-04,2023-12-11,http://kayak.com/flights/DEN-ICN/2023-12-04/2023-12-11/,1298.85,1.0
Paris,França,1985.0,769.73,Várias companhias aéreas,PAR,2023-04-06,2023-04-13,http://kayak.com/flights/DEN-PAR/2023-04-06/2023-04-13/,769.73,1.0
Nova Iorque,Estados Unidos,860.0,146.62,Spirit Airlines,NYC,2023-04-29,2023-05-03,http://kayak.com/flights/DEN-NYC/2023-04-29/2023-05-03/,146.62,1.0
Los Angeles,Estados Unidos,148.0,54.52,Spirit Airlines,LAX,2023-04-12,2023-04-19,http://kayak.com/flights/DEN-LAX/2023-04-12/2023-04-19/,54.52,1.0
Londres,Reino Unido,775.0,534.77,Icelandair,LON,2023-09-19,2023-09-26,http://kayak.com/flights/DEN-LON/2023-09-19/2023-09-26/,534.77,1.0
Copenhaga,Dinamarca,1780.0,897.54,Várias companhias aéreas,CPH,2023-04-20,2023-04-26,http://kayak.com/flights/DEN-CPH/2023-04-20/2023-04-26/,897.54,1.0
Madrid,Espanha,1725.0,820.48,Várias companhias aéreas,MAD,2023-04-28,2023-05-02,http://kayak.com/flights/DEN-MAD/2023-04-28/2023-05-02/,820.48,1.0
Banguecoque,Tailândia,1884.0,963.33,Várias companhias aéreas,BKK,2023-09-11,2023-09-18,http://kayak.com/flights/DEN-BKK/2023-09-11/2023-09-18/,963.33,1.0
Barcelona,Espanha,1430.0,712.4,American Airlines,BCN,2023-12-04,2023-12-11,http://kayak.com/flights/DEN-BCN/2023-12-04/2023-12-11/,712.4,1.0
Miami,Estados Unidos,265.0,95.87,Spirit Airlines,MIA,2023-04-01,2023-04-07,http://kayak.com/flights/DEN-MIA/2023-04-01/2023-04-07/,95.87,1.0
São Francisco,Estados Unidos,664.0,93.99,Frontier,SFO,2023-03-21,2023-03-27,http://kayak.com/flights/DEN-SFO/2023-03-21/2023-03-27/,93.99,1.0
Boston,Estados Unidos,936.0,193.61,Frontier,BOS,2023-04-06,2023-04-11,http://kayak.com/flights/DEN-BOS/2023-04-06/2023-04-11/,193.61,1.0
Lisboa,Portugal,1965.0,704.88,United Airlines,LIS,2023-12-03,2023-12-10,http://kayak.com/flights/DEN-LIS/2023-12-03/2023-12-10/,704.88,1.0
Viena,Áustria,1010.0,1415.39,Air Canada,VIE,2023-06-03,2023-06-10,http://kayak.com/flights/DEN-VIE/2023-06-03/2023-06-10/,1415.39,1.0
Frankfurt,Alemanha,780.0,760.33,Icelandair,FRA,2023-12-04,2023-12-08,http://kayak.com/flights/DEN-FRA/2023-12-04/2023-12-08/,760.33,1.0
Amesterdão,Holanda,785.0,659.77,Icelandair,AMS,2023-11-20,2023-11-26,http://kayak.com/flights/DEN-AMS/2023-11-20/2023-11-26/,659.77,1.0
Las Vegas,Estados Unidos,115.0,38.54,Spirit Airlines,LAS,2023-04-03,2023-04-07,http://kayak.com/flights/DEN-LAS/2023-04-03/2023-04-07/,38.54,1.0
Roma,Itália,1760.0,874.05,American Airlines,ROM,2023-12-01,2023-12-08,http://kayak.com/flights/DEN-ROM/2023-12-01/2023-12-08/,874.05,1.0
Atlanta,Estados Unidos,498.0,140.04,Frontier,ATL,2023-05-02,2023-05-06,http://kayak.com/flights/DEN-ATL/2023-05-02/2023-05-06/,140.04,1.0
Newark,Estados Unidos,860.0,146.62,Spirit Airlines,EWR,2023-04-29,2023-05-03,http://kayak.com/flights/DEN-EWR/2023-04-29/2023-05-03/,146.62,1.0
Manila,Filipinas,1780.0,972.73,Várias companhias aéreas,MNL,2023-11-06,2023-11-13,http://kayak.com/flights/DEN-MNL/2023-11-06/2023-11-13/,972.73,1.0
Nova Deli,Índia,1926.0,1199.23,Várias companhias aéreas,DEL,2023-04-10,2023-04-17,http://kayak.com/flights/DEN-DEL/2023-04-10/2023-04-17/,1199.23,1.0
Seattle,Estados Unidos,532.0,83.65,Spirit Airlines,SEA,2023-04-29,2023-05-03,http://kayak.com/flights/DEN-SEA/2023-04-29/2023-05-03/,83.65,1.0
Berlim,Alemanha,1135.0,1230.24,United Airlines,BER,2023-03-23,2023-03-30,http://kayak.com/flights/DEN-BER/2023-03-23/2023-03-30/,1230.24,1.0
Munique,Alemanha,1100.0,921.04,Várias companhias aéreas,MUC,2023-04-17,2023-04-24,http://kayak.com/flights/DEN-MUC/2023-04-17/2023-04-24/,921.04,1.0
Dallas,Estados Unidos,132.0,75.19,Frontier,DFW,2023-04-29,2023-05-06,http://kayak.com/flights/DEN-DFW/2023-04-29/2023-05-06/,75.19,1.0
Singapura,Singapura,3590.0,1262.2,China Airlines,SIN,2023-05-10,2023-05-15,http://kayak.com/flights/DEN-SIN/2023-05-10/2023-05-15/,1262.2,1.0
Dubai,Emirados Árabes Unidos,2027.0,1005.62,Várias companhias aéreas,DXB,2023-05-17,2023-05-23,http://kayak.com/flights/DEN-DXB/2023-05-17/2023-05-23/,1005.62,1.0
Bogotá,Colômbia,893.0,346.8,Várias companhias aéreas,BOG,2023-04-18,2023-04-25,http://kayak.com/flights/DEN-BOG/2023-04-18/2023-04-25/,346.8,1.0
Cancún,México,883.0,203.95,Volaris,CUN,2023-09-23,2023-09-30,http://kayak.com/flights/DEN-CUN/2023-09-23/2023-09-30/,203.95,1.0
Cidade do México,México,225.0,211.47,Volaris,MEX,2023-10-23,2023-10-30,http://kayak.com/flights/DEN-MEX/2023-10-23/2023-10-30/,211.47,1.0
Atenas,Grécia,2079.0,935.14,Várias companhias aéreas,ATH,2023-04-10,2023-04-17,http://kayak.com/flights/DEN-ATH/2023-04-10/2023-04-17/,935.14,1.0
Zurique,Suíça,1840.0,759.39,Várias companhias aéreas,ZRH,2023-11-06,2023-11-10,http://kayak.com/flights/DEN-ZRH/2023-11-06/2023-11-10/,759.39,1.0
