City,Country,Duration,Price,Airline,Airport,Depart,Return,Link,MinPrice,is_MinPrice
Temuco,Chile,1255,1190.77,Várias companhias aéreas,ZCO,2023-05-15,2023-05-19,http://kayak.com/flights/EWR-ZCO/2023-05-15/2023-05-19/,1190.77,1
Regina,Canadá,510,1272.53,Air Canada,YQR,2023-03-13,2023-03-18,http://kayak.com/flights/EWR-YQR/2023-03-13/2023-03-18/,1272.53,1
Chandigarh,Índia,2340,1265.02,Várias companhias aéreas,IXC,2023-05-09,2023-05-15,http://kayak.com/flights/EWR-IXC/2023-05-09/2023-05-15/,1265.02,1
Siālkot,Paquistão,1380,1254.68,Qatar Airways,SKT,2023-04-10,2023-04-17,http://kayak.com/flights/EWR-SKT/2023-04-10/2023-04-17/,1254.68,1
Biarritz,França,1970,1279.11,Scandinavian Airlines,BIQ,2023-07-14,2023-07-18,http://kayak.com/flights/EWR-BIQ/2023-07-14/2023-07-18/,1279.11,1
Paramaribo,Suriname,1900,1216.15,Várias companhias aéreas,PBM,2023-04-10,2023-04-17,http://kayak.com/flights/EWR-PBM/2023-04-10/2023-04-17/,1216.15,1
Clermont-Ferrand,França,1086,1237.76,Delta,CFE,2023-04-10,2023-04-17,http://kayak.com/flights/EWR-CFE/2023-04-10/2023-04-17/,1237.76,1
Lloydminster,Canadá,2474,1194.53,Várias companhias aéreas,YLL,2023-03-26,2023-04-02,http://kayak.com/flights/EWR-YLL/2023-03-26/2023-04-02/,1194.53,1
Puerto Escondido,México,1539,1249.98,Aeromexico,PXM,2023-04-03,2023-04-08,http://kayak.com/flights/EWR-PXM/2023-04-03/2023-04-08/,1249.98,1
Harare,Zimbábue,1405,1410.69,Ethiopian Air,HRE,2023-06-03,2023-06-09,http://kayak.com/flights/EWR-HRE/2023-06-03/2023-06-09/,1410.69,1
N'Djamena,Chade,2444,1194.53,Delta,NDJ,2023-04-10,2023-04-17,http://kayak.com/flights/EWR-NDJ/2023-04-10/2023-04-17/,1194.53,1
Adana,Turquia,2870,1241.52,Lufthansa,ADA,2023-04-10,2023-04-16,http://kayak.com/flights/EWR-ADA/2023-04-10/2023-04-16/,1241.52,1
Perugia,Itália,1620,1226.48,Várias companhias aéreas,PEG,2023-05-07,2023-05-13,http://kayak.com/flights/EWR-PEG/2023-05-07/2023-05-13/,1226.48,1
Rabate,Marrocos,1010,1334.56,Delta,RBA,2023-03-17,2023-03-24,http://kayak.com/flights/EWR-RBA/2023-03-17/2023-03-24/,1334.56,1
Pau,França,990,1230.24,Delta,PUF,2023-05-01,2023-05-08,http://kayak.com/flights/EWR-PUF/2023-05-01/2023-05-08/,1230.24,1
Knock,Irlanda,1843,1205.81,Várias companhias aéreas,NOC,2023-05-24,2023-05-29,http://kayak.com/flights/EWR-NOC/2023-05-24/2023-05-29/,1205.81,1
Langkawi,Malásia,2195,1290.39,Várias companhias aéreas,LGK,2023-11-10,2023-11-17,http://kayak.com/flights/EWR-LGK/2023-11-10/2023-11-17/,1290.39,1
Calamata,Grécia,1445,1322.35,British Airways,KLX,2023-09-02,2023-09-09,http://kayak.com/flights/EWR-KLX/2023-09-02/2023-09-09/,1322.35,1
Malabo,Guiné Equatorial,2575,1220.84,Lufthansa,SSG,2023-05-03,2023-05-10,http://kayak.com/flights/EWR-SSG/2023-05-03/2023-05-10/,1220.84,1
Luxor,Egito,2155,1298.85,Várias companhias aéreas,LXR,2023-04-10,2023-04-17,http://kayak.com/flights/EWR-LXR/2023-04-10/2023-04-17/,1298.85,1
Vishakhapatnam,Índia,2615,1308.25,Air India,VTZ,2023-03-31,2023-04-07,http://kayak.com/flights/EWR-VTZ/2023-03-31/2023-04-07/,1308.25,1
Exeter,Reino Unido,1715,1274.41,Várias companhias aéreas,EXT,2023-05-30,2023-06-04,http://kayak.com/flights/EWR-EXT/2023-05-30/2023-06-04/,1274.41,1
Newcastle,São Cristóvão e Neves,650,1282.87,United Airlines,NEV,2023-04-28,2023-05-02,http://kayak.com/flights/EWR-NEV/2023-04-28/2023-05-02/,1282.87,1
Grand Forks,Estados Unidos,565,1274.41,Delta,GFK,2023-05-25,2023-05-29,http://kayak.com/flights/EWR-GFK/2023-05-25/2023-05-29/,1274.41,1
Ciudad Juárez,México,940,1332.68,Aeromexico,CJS,2023-04-07,2023-04-13,http://kayak.com/flights/EWR-CJS/2023-04-07/2023-04-13/,1332.68,1
Arusha,Tanzânia,2145,1370.28,British Airways,JRO,2023-09-08,2023-09-15,http://kayak.com/flights/EWR-JRO/2023-09-08/2023-09-15/,1370.28,1
Medina,Arábia Saudita,2190,1453.92,Turkish Airlines,MED,2023-04-14,2023-04-20,http://kayak.com/flights/EWR-MED/2023-04-14/2023-04-20/,1453.92,1
Waimea (Kamuela),Estados Unidos,1545,1288.51,Várias companhias aéreas,MUE,2023-06-15,2023-06-22,http://kayak.com/flights/EWR-MUE/2023-06-15/2023-06-22/,1288.51,1
Kota Kinabalu,Malásia,2090,1577.98,Várias companhias aéreas,BKI,2023-04-09,2023-04-16,http://kayak.com/flights/EWR-BKI/2023-04-09/2023-04-16/,1577.98,1
Roterdão,Holanda,905,1670.08,British Airways,RTM,2023-06-17,2023-06-24,http://kayak.com/flights/EWR-RTM/2023-06-17/2023-06-24/,1670.08,1
Windhoek,Namíbia,2140,1466.14,British Airways,WDH,2023-11-12,2023-11-18,http://kayak.com/flights/EWR-WDH/2023-11-12/2023-11-18/,1466.14,1
East London,África do Sul,2150,1384.37,Várias companhias aéreas,ELS,2023-11-01,2023-11-08,http://kayak.com/flights/EWR-ELS/2023-11-01/2023-11-08/,1384.37,1
Victoria,Seicheles,1950,1528.17,Várias companhias aéreas,SEZ,2023-05-13,2023-05-20,http://kayak.com/flights/EWR-SEZ/2023-05-13/2023-05-20/,1528.17,1
Iquitos,Perú,1455,1340.2,Várias companhias aéreas,IQT,2023-07-02,2023-07-07,http://kayak.com/flights/EWR-IQT/2023-07-02/2023-07-07/,1340.2,1
Tashkent,Uzbequistão,2815,1441.7,Várias companhias aéreas,TAS,2023-09-16,2023-09-23,http://kayak.com/flights/EWR-TAS/2023-09-16/2023-09-23/,1441.7,1
Freetown,Serra Leoa,1325,1333.62,United Airlines,FNA,2023-04-11,2023-04-18,http://kayak.com/flights/EWR-FNA/2023-04-11/2023-04-18/,1333.62,1
San Pedro Town,Belize,2076,1337.38,Várias companhias aéreas,SPR,2023-03-22,2023-03-28,http://kayak.com/flights/EWR-SPR/2023-03-22/2023-03-28/,1337.38,1
Sucre,Bolívia,1337,1333.62,Várias companhias aéreas,SRE,2023-04-09,2023-04-16,http://kayak.com/flights/EWR-SRE/2023-04-09/2023-04-16/,1333.62,1
Medan,Indonésia,3125,1368.4,Várias companhias aéreas,KNO,2023-04-10,2023-04-17,http://kayak.com/flights/EWR-KNO/2023-04-10/2023-04-17/,1368.4,1
Kuching,Malásia,4205,1405.99,Várias companhias aéreas,KCH,2023-04-09,2023-04-16,http://kayak.com/flights/EWR-KCH/2023-04-09/2023-04-16/,1405.99,1
Tamuning,Guam,2699,1761.25,Várias companhias aéreas,GUM,2023-12-01,2023-12-05,http://kayak.com/flights/EWR-GUM/2023-12-01/2023-12-05/,1761.25,1
Antananarivo,Madagáscar,2165,1506.55,Ethiopian Air,TNR,2023-10-06,2023-10-13,http://kayak.com/flights/EWR-TNR/2023-10-06/2023-10-13/,1506.55,1
Pula,Croácia,1645,1420.09,Lufthansa,PUY,2023-08-12,2023-08-18,http://kayak.com/flights/EWR-PUY/2023-08-12/2023-08-18/,1420.09,1
Nicósia,Chipre,1000,1376.86,Turkish Airlines,ECN,2023-03-30,2023-04-06,http://kayak.com/flights/EWR-ECN/2023-03-30/2023-04-06/,1376.86,1
Vadodara,Índia,1425,1390.95,Várias companhias aéreas,BDQ,2023-03-22,2023-03-29,http://kayak.com/flights/EWR-BDQ/2023-03-22/2023-03-29/,1390.95,1
Milltown (Kerry),Irlanda,2460,1346.78,Várias companhias aéreas,KIR,2023-03-29,2023-04-03,http://kayak.com/flights/EWR-KIR/2023-03-29/2023-04-03/,1346.78,1
Qingdao,China,3113,1473.66,ANA,TAO,2023-10-16,2023-10-22,http://kayak.com/flights/EWR-TAO/2023-10-16/2023-10-22/,1473.66,1
Tampere,Finlândia,1255,1421.03,Várias companhias aéreas,TMP,2023-07-23,2023-07-29,http://kayak.com/flights/EWR-TMP/2023-07-23/2023-07-29/,1421.03,1
Lublin,Polónia,2075,1394.71,Várias companhias aéreas,LUZ,2023-04-08,2023-04-15,http://kayak.com/flights/EWR-LUZ/2023-04-08/2023-04-15/,1394.71,1
Pietermaritzburg,África do Sul,2295,1398.47,Emirates,PZB,2023-11-01,2023-11-08,http://kayak.com/flights/EWR-PZB/2023-11-01/2023-11-08/,1398.47,1
Grand'Anse Praslin,Seicheles,2025,1403.17,Várias companhias aéreas,PRI,2023-04-03,2023-04-10,http://kayak.com/flights/EWR-PRI/2023-04-03/2023-04-10/,1403.17,1
